filename,class_label,data_source,new_label
00e2b4cd.wav,Bark,FSD,2
019d2a2c.wav,Bark,FSD,2
020eb9f6.wav,Bark,FSD,2
027cd3fd.wav,Meow,FSD,3
03b4aca1.wav,Meow,FSD,3
0457d8bc.wav,Bark,FSD,2
04ab05a7.wav,Bark,FSD,2
05173c4d.wav,Bark,FSD,2
06dd3b18.wav,Bark,FSD,2
06e87b61.wav,Bark,FSD,2
0704ffb8.wav,Bark,FSD,2
07605b4c.wav,Bark,FSD,2
086dfaff.wav,Bark,FSD,2
08cf2d2b.wav,Bark,FSD,2
0939d783.wav,Bark,FSD,2
098a3205.wav,Bark,FSD,2
0a32271b.wav,Meow,FSD,3
0ac443ad.wav,Bark,FSD,2
0b7f8989.wav,Bark,FSD,2
0b914d51.wav,Meow,FSD,3
0c0f796c.wav,Meow,FSD,3
0d79765a.wav,Bark,FSD,2
0f274e7a.wav,Meow,FSD,3
0ff6fdf5.wav,Bark,FSD,2
11439cbd.wav,Bark,FSD,2
11cf5942.wav,Bark,FSD,2
120e0846.wav,Bark,FSD,2
1238c3a4.wav,Meow,FSD,3
13903b82.wav,Meow,FSD,3
1391883f.wav,Bark,FSD,2
13ee6c44.wav,Bark,FSD,2
1401c7ff.wav,Bark,FSD,2
146d5e25.wav,Bark,FSD,2
147f61ff.wav,Bark,FSD,2
14e1442c.wav,Bark,FSD,2
14ef39a2.wav,Meow,FSD,3
14f26483.wav,Bark,FSD,2
161bd007.wav,Bark,FSD,2
16e4d91a.wav,Bark,FSD,2
170946f3.wav,Meow,FSD,3
1760ba6f.wav,Meow,FSD,3
176c5f52.wav,Bark,FSD,2
18683b52.wav,Bark,FSD,2
18ab257b.wav,Bark,FSD,2
18c0fa51.wav,Bark,FSD,2
18e0f7ac.wav,Bark,FSD,2
19fc7498.wav,Meow,FSD,3
1ae93472.wav,Meow,FSD,3
1d28b9cb.wav,Bark,FSD,2
1d8502f5.wav,Bark,FSD,2
1e5fd361.wav,Bark,FSD,2
1ee68efd.wav,Bark,FSD,2
1fac40bb.wav,Meow,FSD,3
21e48c3b.wav,Meow,FSD,3
234f95ec.wav,Bark,FSD,2
2405de39.wav,Meow,FSD,3
24e8a804.wav,Bark,FSD,2
25a8c380.wav,Meow,FSD,3
27a0f9ed.wav,Bark,FSD,2
27a962c5.wav,Meow,FSD,3
28492d31.wav,Bark,FSD,2
2a1540b1.wav,Meow,FSD,3
2a72b20b.wav,Bark,FSD,2
2aad886a.wav,Bark,FSD,2
2ad59d34.wav,Meow,FSD,3
2b13754b.wav,Bark,FSD,2
2b49c53e.wav,Bark,FSD,2
2b4e910e.wav,Bark,FSD,2
2bb21942.wav,Bark,FSD,2
2c0e354c.wav,Bark,FSD,2
2c1af1c2.wav,Meow,FSD,3
2d9fcebb.wav,Bark,FSD,2
2e150054.wav,Meow,FSD,3
2e35864b.wav,Meow,FSD,3
30619f79.wav,Meow,FSD,3
31320e98.wav,Bark,FSD,2
327fea32.wav,Bark,FSD,2
33a40fbe.wav,Meow,FSD,3
357a5b9a.wav,Bark,FSD,2
35a38d01.wav,Bark,FSD,2
367e990f.wav,Bark,FSD,2
375bfb8e.wav,Meow,FSD,3
37d5d788.wav,Meow,FSD,3
3804ed01.wav,Bark,FSD,2
3811852f.wav,Bark,FSD,2
388093aa.wav,Bark,FSD,2
391dea43.wav,Bark,FSD,2
392882a3.wav,Meow,FSD,3
39daded1.wav,Bark,FSD,2
3a4abb1d.wav,Bark,FSD,2
3a7f4b9f.wav,Bark,FSD,2
3b04a2b1.wav,Bark,FSD,2
3c002b9b.wav,Bark,FSD,2
3c200451.wav,Bark,FSD,2
3d4fcc98.wav,Bark,FSD,2
3f272bc9.wav,Bark,FSD,2
3f3f7481.wav,Bark,FSD,2
3f9adde5.wav,Bark,FSD,2
405b6af2.wav,Bark,FSD,2
40733d4e.wav,Meow,FSD,3
410b8cc3.wav,Bark,FSD,2
41264c8a.wav,Bark,FSD,2
4217d933.wav,Bark,FSD,2
430cb829.wav,Bark,FSD,2
43523546.wav,Bark,FSD,2
43d0fe93.wav,Bark,FSD,2
442490bc.wav,Meow,FSD,3
445b88ad.wav,Bark,FSD,2
44911b70.wav,Meow,FSD,3
4509d8c8.wav,Meow,FSD,3
46076458.wav,Meow,FSD,3
4629e77b.wav,Meow,FSD,3
464c651e.wav,Meow,FSD,3
47797e57.wav,Bark,FSD,2
4900d8a0.wav,Bark,FSD,2
49345c2f.wav,Meow,FSD,3
49d51b77.wav,Meow,FSD,3
4b166997.wav,Meow,FSD,3
4bf0c44b.wav,Meow,FSD,3
4c9112c0.wav,Bark,FSD,2
4c9c19b0.wav,Bark,FSD,2
4ca93593.wav,Bark,FSD,2
4cc1da2f.wav,Bark,FSD,2
4ccf85c8.wav,Meow,FSD,3
4d5430cf.wav,Bark,FSD,2
4f5a5cd7.wav,Meow,FSD,3
50917ab0.wav,Bark,FSD,2
50d356da.wav,Bark,FSD,2
511fb54a.wav,Bark,FSD,2
519b068d.wav,Bark,FSD,2
52127914.wav,Meow,FSD,3
52efdfdd.wav,Meow,FSD,3
546416c0.wav,Bark,FSD,2
54f4ed65.wav,Bark,FSD,2
55b7b452.wav,Meow,FSD,3
569ee690.wav,Bark,FSD,2
574d304d.wav,Bark,FSD,2
58c581a3.wav,Bark,FSD,2
59667f26.wav,Bark,FSD,2
5a4404c9.wav,Bark,FSD,2
5aa8b633.wav,Meow,FSD,3
5aabae55.wav,Bark,FSD,2
5baff24a.wav,Bark,FSD,2
5d939814.wav,Bark,FSD,2
5e879961.wav,Meow,FSD,3
5ea18a36.wav,Meow,FSD,3
5ec49ef4.wav,Bark,FSD,2
62a22795.wav,Meow,FSD,3
63043359.wav,Meow,FSD,3
63db2898.wav,Bark,FSD,2
6412f485.wav,Bark,FSD,2
64de2033.wav,Bark,FSD,2
64e4c75b.wav,Bark,FSD,2
65de6350.wav,Bark,FSD,2
66af2f72.wav,Bark,FSD,2
66b65fff.wav,Meow,FSD,3
67066eb2.wav,Meow,FSD,3
674b6f0f.wav,Meow,FSD,3
67c69330.wav,Bark,FSD,2
68d8b3fd.wav,Meow,FSD,3
68ddd963.wav,Bark,FSD,2
6934efec.wav,Meow,FSD,3
6a887ffa.wav,Meow,FSD,3
6b28b873.wav,Bark,FSD,2
6c84907a.wav,Bark,FSD,2
6ccf7c29.wav,Meow,FSD,3
6ea1b08a.wav,Meow,FSD,3
7096f285.wav,Meow,FSD,3
70fb1d65.wav,Bark,FSD,2
716e4cae.wav,Bark,FSD,2
71964cc8.wav,Meow,FSD,3
71ca662a.wav,Bark,FSD,2
7262a499.wav,Bark,FSD,2
72d85cdf.wav,Bark,FSD,2
754667cd.wav,Meow,FSD,3
758ed798.wav,Meow,FSD,3
765339ec.wav,Bark,FSD,2
786ee883.wav,Bark,FSD,2
799055b8.wav,Meow,FSD,3
79cc9b98.wav,Meow,FSD,3
7a515659.wav,Meow,FSD,3
7a6d71fc.wav,Meow,FSD,3
7ab5800d.wav,Meow,FSD,3
7afbf017.wav,Bark,FSD,2
7b6f44ff.wav,Meow,FSD,3
7d4c5e77.wav,Meow,FSD,3
7e3411ef.wav,Bark,FSD,2
7f70f1a1.wav,Bark,FSD,2
7fd46eaa.wav,Meow,FSD,3
80a3da4a.wav,Bark,FSD,2
81982d20.wav,Bark,FSD,2
81d516e0.wav,Meow,FSD,3
81debe3a.wav,Bark,FSD,2
83600384.wav,Bark,FSD,2
85283172.wav,Bark,FSD,2
85313bfa.wav,Meow,FSD,3
8606ec28.wav,Bark,FSD,2
86692bfd.wav,Bark,FSD,2
871c860e.wav,Bark,FSD,2
876cd66b.wav,Meow,FSD,3
87a12c75.wav,Bark,FSD,2
89515baf.wav,Meow,FSD,3
8a9c77de.wav,Bark,FSD,2
8c5de0f8.wav,Meow,FSD,3
8cc7897c.wav,Bark,FSD,2
